volunteer_ID,rollnumber,firstname,lastname,email,institute,phonenumber
53,2018436,Rosanne,Tamsky,Rosanne.Tamsky@random.com,BITS Goa,9821284571
54,2019178,Joelly,Weaks,Joelly.Weaks@random.com,IIT - Delhi,9821284502
55,2018169,Lilith,Shaddock,Lilith.Shaddock@random.com,NIFT Delhi,9821285161
56,2018409,Stephanie,Henrie,Stephanie.Henrie@random.com,Jesus Mary College,9821284843
57,2018175,Marita,Croix,Marita.Croix@random.com,NIFT Delhi,9821284199
58,2018118,Philis,Eno,Philis.Eno@random.com,Sharda University,9821284236
59,2018442,Deedee,Baudin,Deedee.Baudin@random.com,IGDTUW,9821285087
60,2018370,Danika,Bevin,Danika.Bevin@random.com,DTU,9821284811
61,2018373,Hyacinthe,Fabiola,Hyacinthe.Fabiola@random.com,NIFT Delhi,9821284749
62,2018418,Tonia,Llovera,Tonia.Llovera@random.com,IIT - Delhi,9821284349
63,2020065,Celene,Gaal,Celene.Gaal@random.com,Gargi College,9821285045
64,2018256,Melisent,Dorothy,Melisent.Dorothy@random.com,NIFT Delhi,9821284767
65,2018496,Cherrita,Lemuela,Cherrita.Lemuela@random.com,IGNOU,9821284216
66,2018157,Joane,Hutchison,Joane.Hutchison@random.com,Hindu College,9821285083
67,2019129,Catrina,Pulsifer,Catrina.Pulsifer@random.com,Christ University,9821284789
68,2019157,Merrie,Vary,Merrie.Vary@random.com,NSUT,9821284709
69,2018250,Ronna,Weinreb,Ronna.Weinreb@random.com,St. Stephen's College,9821284637
70,2018148,Gianina,Seumas,Gianina.Seumas@random.com,GGSIPU,9821284854
71,2019206,Tori,Aldric,Tori.Aldric@random.com,Christ University,9821284712
72,2018328,Debee,Darrell,Debee.Darrell@random.com,Miranda House,9821284375
73,2018295,Bobbi,Sasnett,Bobbi.Sasnett@random.com,Christ University,9821284863
74,2018241,Celene,Avi,Celene.Avi@random.com,Dyal Singh College,9821284997
75,2018463,Ashlee,Sperling,Ashlee.Sperling@random.com,BITS Pilani,9821284943
76,2018331,Genovera,Millda,Genovera.Millda@random.com,Hansraj College,9821284350
77,2020045,Dulcinea,Kauppi,Dulcinea.Kauppi@random.com,BITS Pilani,9821285175
78,2018478,Gloria,Chandler,Gloria.Chandler@random.com,Miranda House,9821284795
79,2018415,Valera,Hanshaw,Valera.Hanshaw@random.com,Gargi College,9821285158
80,2018499,Tera,Ivens,Tera.Ivens@random.com,IGNOU,9821285019
81,2018235,Lizzie,Shuler,Lizzie.Shuler@random.com,Christ University,9821284263
82,2018220,Yolane,Allys,Yolane.Allys@random.com,BITS Goa,9821284621
83,2018136,Fred,Whittaker,Fred.Whittaker@random.com,LSR,9821284651
84,2018301,Lila,Harriman,Lila.Harriman@random.com,GGSIPU,9821285059
85,2018334,Candy,Karna,Candy.Karna@random.com,IGDTUW,9821284704
86,2018427,Willetta,Frodi,Willetta.Frodi@random.com,Amity University,9821285094
87,2019031,Sam,Zrike,Sam.Zrike@random.com,Hansraj College,9821284213
88,2019150,Wileen,Kirbee,Wileen.Kirbee@random.com,Jaypee Institute,9821284912
89,2019171,Therine,Penelopa,Therine.Penelopa@random.com,NIFT Delhi,9821284800
90,2018451,Doro,Bohlin,Doro.Bohlin@random.com,IIT - Roorkee,9821284822
91,2018382,Esmeralda,Gert,Esmeralda.Gert@random.com,IGNOU,9821284642
92,2018202,Wynne,Morgun,Wynne.Morgun@random.com,Christ University,9821284660
93,2018133,Frieda,Juliet,Frieda.Juliet@random.com,BITS Pilani,9821284287
94,2018493,Amii,Tippets,Amii.Tippets@random.com,DTU,9821285051
95,2018145,Brandise,Ricki,Brandise.Ricki@random.com,NIFT Delhi,9821284715
96,2018187,Dione,Caitlin,Dione.Caitlin@random.com,Amity University,9821284862
97,2018289,Annora,Constancy,Annora.Constancy@random.com,St. Stephen's College,9821284827
98,2018127,Kenna,Freddi,Kenna.Freddi@random.com,Hansraj College,9821284936
99,2018271,Tierney,Sherrie,Tierney.Sherrie@random.com,Gargi College,9821284474
