OT ID,roll number,firstname,lastname,email,phone number,Event Number,OC_ID,N_sponosors_contacted
45,2018160,Jeanna,Lindemann,Jeanna.Lindemann@random.com,9821285009,19,7,27
46,2018196,Devina,Merriott,Devina.Merriott@random.com,9821284246,9,3,24
47,2018367,Janey,Bari,Janey.Bari@random.com,9821284877,7,3,6
48,2018121,Gusty,Kiersten,Gusty.Kiersten@random.com,9821285078,10,3,28
49,2018352,Flo,Merriott,Flo.Merriott@random.com,9821285134,10,3,25
50,2020033,Kirbee,Greenwald,Kirbee.Greenwald@random.com,9821284206,17,6,36
51,2018310,Nessie,Kare,Nessie.Kare@random.com,9821284775,20,7,9
52,2019080,Valeda,Minetta,Valeda.Minetta@random.com,9821284845,23,9,22
53,2019192,Nataline,Dom,Nataline.Dom@random.com,9821284572,27,10,33
54,2018481,Winifred,Whiffen,Winifred.Whiffen@random.com,9821284908,3,1,8
55,2018484,Edyth,Othilia,Edyth.Othilia@random.com,9821284208,14,5,10
56,2018346,Donnie,Roxanna,Donnie.Roxanna@random.com,9821285052,16,6,15
57,2018406,Renae,Lasley,Renae.Lasley@random.com,9821284747,26,10,17
58,2018115,Meg,Durante,Meg.Durante@random.com,9821284336,16,6,12
59,2019017,Jennica,Creamer,Jennica.Creamer@random.com,9821284607,28,10,20
60,2019073,Drucie,Vacuva,Drucie.Vacuva@random.com,9821284385,19,7,9
61,2018214,Violet,Magdalen,Violet.Magdalen@random.com,9821284861,8,3,19
62,2018259,Mariann,Turne,Mariann.Turne@random.com,9821284824,20,7,25
63,2018277,Lynde,Dielu,Lynde.Dielu@random.com,9821284303,11,4,9
64,2019122,Minne,Edvard,Minne.Edvard@random.com,9821284465,24,9,13
65,2018376,Eolanda,Hilbert,Eolanda.Hilbert@random.com,9821284849,24,9,10
66,2018397,Abbie,Stilwell,Abbie.Stilwell@random.com,9821284533,9,3,2
67,2019094,Briney,Blake,Briney.Blake@random.com,9821284448,25,10,0
68,2020025,Ariela,Drisko,Ariela.Drisko@random.com,9821284330,2,1,20
69,2019087,Cathyleen,Marden,Cathyleen.Marden@random.com,9821284901,15,6,5
70,2019010,Britni,Phyllis,Britni.Phyllis@random.com,9821284867,12,4,25
